% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.441	1	1	145	2	1	28	2196	0	0
1.451	1	1	146	2	1	28	2196	0	0
1.461	1	1	147	2	1	28	2196	0	0
1.471	1	1	148	2	1	28	2196	0	0
1.481	1	1	149	2	1	28	2196	0	0
1.491	1	1	150	2	1	28	2196	0	0
1.501	1	1	151	2	1	28	2196	0	0
1.511	1	1	152	2	1	28	2196	0	0
1.521	1	1	153	2	1	28	2196	0	0
1.531	1	1	154	2	1	28	2196	0	0
1.541	1	1	155	2	1	28	2196	0	0
1.551	1	1	156	2	1	28	2196	0	0
1.561	1	1	157	2	1	28	2196	0	0
1.571	1	1	158	2	1	28	2196	0	0
1.581	1	1	159	2	1	28	2196	0	0
1.591	1	1	160	2	1	28	2196	0	0
1.601	1	1	161	2	1	28	2196	0	0
1.611	1	1	162	2	1	28	2196	0	0
1.621	1	1	163	2	1	28	2196	0	0
1.631	1	1	164	2	1	28	2196	0	0
1.641	1	1	165	2	1	28	2196	0	0
1.651	1	1	166	2	1	28	2196	0	0
1.661	1	1	167	2	1	28	2196	0	0
1.671	1	1	168	2	1	28	2196	0	0
1.681	1	1	169	2	1	28	2196	0	0
1.691	1	1	170	2	1	28	2196	0	0
1.701	1	1	171	2	1	28	2196	0	0
1.711	1	1	172	2	1	28	2196	0	0
1.721	1	1	173	2	1	28	2196	0	0
1.731	1	1	174	2	1	28	2196	0	0
1.741	1	1	175	2	1	28	2196	0	0
1.751	1	1	176	2	1	28	2196	0	0
1.761	1	1	177	2	1	28	2196	0	0
1.771	1	1	178	2	1	28	2196	0	0
1.781	1	1	179	2	1	28	2196	0	0
1.791	1	1	180	2	1	28	2196	0	0
1.801	1	1	181	2	1	28	2196	0	0
1.811	1	1	182	2	1	28	2196	0	0
1.821	1	1	183	2	1	28	2196	0	0
1.831	1	1	184	2	1	28	2196	0	0
1.841	1	1	185	2	1	28	2196	0	0
1.851	1	1	186	2	1	28	2196	0	0
1.861	1	1	187	2	1	28	2196	0	0
1.871	1	1	188	2	1	28	2196	0	0
1.881	1	1	189	2	1	28	2196	0	0
1.891	1	1	190	2	1	28	2196	0	0
1.901	1	1	191	2	1	28	2196	0	0
1.911	1	1	192	2	1	28	2196	0	0
1.921	1	1	193	2	1	28	2196	0	0
1.931	1	1	194	2	1	28	2196	0	0
1.941	1	1	195	2	1	28	2196	0	0
1.951	1	1	196	2	1	28	2196	0	0
1.961	1	1	197	2	1	28	2196	0	0
1.971	1	1	198	2	1	28	2196	0	0
1.981	1	1	199	2	1	28	2196	0	0
1.991	1	1	200	2	1	28	2196	0	0
2.001	1	1	201	2	1	28	2196	0	0
2.011	1	1	202	2	1	28	2196	0	0
2.021	1	1	203	2	1	28	2196	0	0
2.031	1	1	204	2	1	28	2196	0	0
2.041	1	1	205	2	1	28	2196	0	0
2.051	1	1	206	2	1	28	2196	0	0
2.061	1	1	207	2	1	28	2196	0	0
2.071	1	1	208	2	1	28	2196	0	0
2.081	1	1	209	2	1	28	2196	0	0
2.091	1	1	210	2	1	28	2196	0	0
2.101	1	1	211	2	1	28	2196	0	0
2.111	1	1	212	2	1	28	2196	0	0
2.121	1	1	213	2	1	28	2196	0	0
2.131	1	1	214	2	1	28	2196	0	0
2.141	1	1	215	2	1	28	2196	0	0
2.151	1	1	216	2	1	28	2196	0	0
2.161	1	1	217	2	1	28	2196	0	0
2.171	1	1	218	2	1	28	2196	0	0
2.181	1	1	219	2	1	28	2196	0	0
2.191	1	1	220	2	1	28	2196	0	0
2.201	1	1	221	2	1	28	2196	0	0
2.211	1	1	222	2	1	28	2196	0	0
2.221	1	1	223	2	1	28	2196	0	0
2.231	1	1	224	2	1	28	2196	0	0
2.241	1	1	225	2	1	28	2196	0	0
2.251	1	1	226	2	1	28	2196	0	0
2.261	1	1	227	2	1	28	2196	0	0
2.271	1	1	228	2	1	28	2196	0	0
2.281	1	1	229	2	1	28	2196	0	0
2.291	1	1	230	2	1	28	2196	0	0
2.301	1	1	231	2	1	28	2196	0	0
2.311	1	1	232	2	1	28	2196	0	0
2.321	1	1	233	2	1	28	2196	0	0
2.331	1	1	234	2	1	28	2196	0	0
2.341	1	1	235	2	1	28	2196	0	0
2.351	1	1	236	2	1	28	2196	0	0
2.361	1	1	237	2	1	28	2196	0	0
2.371	1	1	238	2	1	28	2196	0	0
2.381	1	1	239	2	1	28	2196	0	0
2.391	1	1	240	2	1	28	2196	0	0
2.401	1	1	241	2	1	28	2196	0	0
2.411	1	1	242	2	1	28	2196	0	0
2.421	1	1	243	2	1	28	2196	0	0
2.431	1	1	244	2	1	28	2196	0	0
2.441	1	1	245	2	1	28	2196	0	0
2.451	1	1	246	2	1	28	2196	0	0
2.461	1	1	247	2	1	28	2196	0	0
2.471	1	1	248	2	1	28	2196	0	0
2.481	1	1	249	2	1	28	2196	0	0
2.491	1	1	250	2	1	28	2196	0	0
2.501	1	1	251	2	1	28	2196	0	0
2.511	1	1	252	2	1	28	2196	0	0
2.521	1	1	253	2	1	28	2196	0	0
2.531	1	1	254	2	1	28	2196	0	0
2.541	1	1	255	2	1	28	2196	0	0
2.551	1	1	256	2	1	28	2196	0	0
2.561	1	1	257	2	1	28	2196	0	0
2.571	1	1	258	2	1	28	2196	0	0
2.581	1	1	259	2	1	28	2196	0	0
2.591	1	1	260	2	1	28	2196	0	0
2.601	1	1	261	2	1	28	2196	0	0
2.611	1	1	262	2	1	28	2196	0	0
2.621	1	1	263	2	1	28	2196	0	0
2.631	1	1	264	2	1	28	2196	0	0
2.641	1	1	265	2	1	28	2196	0	0
2.651	1	1	266	2	1	28	2196	0	0
2.661	1	1	267	2	1	28	2196	0	0
2.671	1	1	268	2	1	28	2196	0	0
2.681	1	1	269	2	1	28	2196	0	0
2.691	1	1	270	2	1	28	2196	0	0
2.701	1	1	271	2	1	28	2196	0	0
2.711	1	1	272	2	1	28	2196	0	0
2.721	1	1	273	2	1	28	2196	0	0
2.731	1	1	274	2	1	28	2196	0	0
2.741	1	1	275	2	1	28	2196	0	0
2.751	1	1	276	2	1	28	2196	0	0
2.761	1	1	277	2	1	28	2196	0	0
2.771	1	1	278	2	1	28	2196	0	0
2.781	1	1	279	2	1	28	2196	0	0
2.791	1	1	280	2	1	28	2196	0	0
2.801	1	1	281	2	1	28	2196	0	0
2.811	1	1	282	2	1	28	2196	0	0
2.821	1	1	283	2	1	28	2196	0	0
2.831	1	1	284	2	1	28	2196	0	0
2.841	1	1	285	2	1	28	2196	0	0
2.851	1	1	286	2	1	28	2196	0	0
2.861	1	1	287	2	1	28	2196	0	0
2.871	1	1	288	2	1	28	2196	0	0
2.881	1	1	289	2	1	28	2196	0	0
2.891	1	1	290	2	1	28	2196	0	0
2.901	1	1	291	2	1	28	2196	0	0
2.911	1	1	292	2	1	28	2196	0	0
2.921	1	1	293	2	1	28	2196	0	0
2.931	1	1	294	2	1	28	2196	0	0
2.941	1	1	295	2	1	28	2196	0	0
2.951	1	1	296	2	1	28	2196	0	0
2.961	1	1	297	2	1	28	2196	0	0
2.971	1	1	298	2	1	28	2196	0	0
2.981	1	1	299	2	1	28	2196	0	0
2.991	1	1	300	2	1	28	2196	0	0
3.001	1	1	301	2	1	28	2196	0	0
3.011	1	1	302	2	1	28	2196	0	0
3.021	1	1	303	2	1	28	2196	0	0
3.031	1	1	304	2	1	28	2196	0	0
3.041	1	1	305	2	1	28	2196	0	0
3.051	1	1	306	2	1	28	2196	0	0
3.061	1	1	307	2	1	28	2196	0	0
3.071	1	1	308	2	1	28	2196	0	0
3.081	1	1	309	2	1	28	2196	0	0
3.091	1	1	310	2	1	28	2196	0	0
3.101	1	1	311	2	1	28	2196	0	0
3.111	1	1	312	2	1	28	2196	0	0
3.121	1	1	313	2	1	28	2196	0	0
3.131	1	1	314	2	1	28	2196	0	0
3.141	1	1	315	2	1	28	2196	0	0
3.151	1	1	316	2	1	28	2196	0	0
3.161	1	1	317	2	1	28	2196	0	0
3.171	1	1	318	2	1	28	2196	0	0
3.181	1	1	319	2	1	28	2196	0	0
3.191	1	1	320	2	1	28	2196	0	0
3.201	1	1	321	2	1	28	2196	0	0
3.211	1	1	322	2	1	28	2196	0	0
3.221	1	1	323	2	1	28	2196	0	0
3.231	1	1	324	2	1	28	2196	0	0
3.241	1	1	325	2	1	28	2196	0	0
3.251	1	1	326	2	1	28	2196	0	0
3.261	1	1	327	2	1	28	2196	0	0
3.271	1	1	328	2	1	28	2196	0	0
3.281	1	1	329	2	1	28	2196	0	0
3.291	1	1	330	2	1	28	2196	0	0
3.301	1	1	331	2	1	28	2196	0	0
3.311	1	1	332	2	1	28	2196	0	0
3.321	1	1	333	2	1	28	2196	0	0
3.331	1	1	334	2	1	28	2196	0	0
3.341	1	1	335	2	1	28	2196	0	0
3.351	1	1	336	2	1	28	2196	0	0
3.361	1	1	337	2	1	28	2196	0	0
3.371	1	1	338	2	1	28	2196	0	0
3.381	1	1	339	2	1	28	2196	0	0
3.391	1	1	340	2	1	28	2196	0	0
3.401	1	1	341	2	1	28	2196	0	0
3.411	1	1	342	2	1	28	2196	0	0
3.421	1	1	343	2	1	28	2196	0	0
3.431	1	1	344	2	1	28	2196	0	0
3.441	1	1	345	2	1	28	2196	0	0
3.451	1	1	346	2	1	28	2196	0	0
3.461	1	1	347	2	1	28	2196	0	0
3.471	1	1	348	2	1	28	2196	0	0
3.481	1	1	349	2	1	28	2196	0	0
3.491	1	1	350	2	1	28	2196	0	0
3.501	1	1	351	2	1	28	2196	0	0
3.511	1	1	352	2	1	28	2196	0	0
3.521	1	1	353	2	1	28	2196	0	0
3.531	1	1	354	2	1	28	2196	0	0
3.541	1	1	355	2	1	28	2196	0	0
3.551	1	1	356	2	1	28	2196	0	0
3.561	1	1	357	2	1	28	2196	0	0
3.571	1	1	358	2	1	28	2196	0	0
3.581	1	1	359	2	1	28	2196	0	0
3.591	1	1	360	2	1	28	2196	0	0
3.601	1	1	361	2	1	28	2196	0	0
3.611	1	1	362	2	1	28	2196	0	0
3.621	1	1	363	2	1	28	2196	0	0
3.631	1	1	364	2	1	28	2196	0	0
3.641	1	1	365	2	1	28	2196	0	0
3.651	1	1	366	2	1	28	2196	0	0
3.661	1	1	367	2	1	28	2196	0	0
3.671	1	1	368	2	1	28	2196	0	0
3.681	1	1	369	2	1	28	2196	0	0
3.691	1	1	370	2	1	28	2196	0	0
3.701	1	1	371	2	1	28	2196	0	0
3.711	1	1	372	2	1	28	2196	0	0
3.721	1	1	373	2	1	28	2196	0	0
3.731	1	1	374	2	1	28	2196	0	0
3.741	1	1	375	2	1	28	2196	0	0
3.751	1	1	376	2	1	28	2196	0	0
3.761	1	1	377	2	1	28	2196	0	0
3.771	1	1	378	2	1	28	2196	0	0
3.781	1	1	379	2	1	28	2196	0	0
3.791	1	1	380	2	1	28	2196	0	0
3.801	1	1	381	2	1	28	2196	0	0
3.811	1	1	382	2	1	28	2196	0	0
3.821	1	1	383	2	1	28	2196	0	0
3.831	1	1	384	2	1	28	2196	0	0
3.841	1	1	385	2	1	28	2196	0	0
3.851	1	1	386	2	1	28	2196	0	0
3.861	1	1	387	2	1	28	2196	0	0
3.871	1	1	388	2	1	28	2196	0	0
3.881	1	1	389	2	1	28	2196	0	0
3.891	1	1	390	2	1	28	2196	0	0
3.901	1	1	391	2	1	28	2196	0	0
3.911	1	1	392	2	1	28	2196	0	0
3.921	1	1	393	2	1	28	2196	0	0
3.931	1	1	394	2	1	28	2196	0	0
3.941	1	1	395	2	1	28	2196	0	0
3.951	1	1	396	2	1	28	2196	0	0
3.961	1	1	397	2	1	28	2196	0	0
3.971	1	1	398	2	1	28	2196	0	0
3.981	1	1	399	2	1	28	2196	0	0
3.991	1	1	400	2	1	28	2196	0	0
4.001	1	1	401	2	1	28	2196	0	0
4.011	1	1	402	2	1	28	2196	0	0
4.021	1	1	403	2	1	28	2196	0	0
4.031	1	1	404	2	1	28	2196	0	0
4.041	1	1	405	2	1	28	2196	0	0
4.051	1	1	406	2	1	28	2196	0	0
4.061	1	1	407	2	1	28	2196	0	0
4.071	1	1	408	2	1	28	2196	0	0
4.081	1	1	409	2	1	28	2196	0	0
4.091	1	1	410	2	1	28	2196	0	0
4.101	1	1	411	2	1	28	2196	0	0
4.111	1	1	412	2	1	28	2196	0	0
4.121	1	1	413	2	1	28	2196	0	0
4.131	1	1	414	2	1	28	2196	0	0
4.141	1	1	415	2	1	28	2196	0	0
4.151	1	1	416	2	1	28	2196	0	0
4.161	1	1	417	2	1	28	2196	0	0
4.171	1	1	418	2	1	28	2196	0	0
4.181	1	1	419	2	1	28	2196	0	0
4.191	1	1	420	2	1	28	2196	0	0
4.201	1	1	421	2	1	28	2196	0	0
4.211	1	1	422	2	1	28	2196	0	0
4.221	1	1	423	2	1	28	2196	0	0
4.231	1	1	424	2	1	28	2196	0	0
4.241	1	1	425	2	1	28	2196	0	0
4.251	1	1	426	2	1	28	2196	0	0
4.261	1	1	427	2	1	28	2196	0	0
4.271	1	1	428	2	1	28	2196	0	0
4.281	1	1	429	2	1	28	2196	0	0
4.291	1	1	430	2	1	28	2196	0	0
4.301	1	1	431	2	1	28	2196	0	0
4.311	1	1	432	2	1	28	2196	0	0
4.321	1	1	433	2	1	28	2196	0	0
4.331	1	1	434	2	1	28	2196	0	0
4.341	1	1	435	2	1	28	2196	0	0
4.351	1	1	436	2	1	28	2196	0	0
4.361	1	1	437	2	1	28	2196	0	0
4.371	1	1	438	2	1	28	2196	0	0
4.381	1	1	439	2	1	28	2196	0	0
4.391	1	1	440	2	1	28	2196	0	0
4.401	1	1	441	2	1	28	2196	0	0
4.411	1	1	442	2	1	28	2196	0	0
4.421	1	1	443	2	1	28	2196	0	0
4.431	1	1	444	2	1	28	2196	0	0
4.441	1	1	445	2	1	28	2196	0	0
4.451	1	1	446	2	1	28	2196	0	0
4.461	1	1	447	2	1	28	2196	0	0
4.471	1	1	448	2	1	28	2196	0	0
4.481	1	1	449	2	1	28	2196	0	0
4.491	1	1	450	2	1	28	2196	0	0
4.501	1	1	451	2	1	28	2196	0	0
4.511	1	1	452	2	1	28	2196	0	0
4.521	1	1	453	2	1	28	2196	0	0
4.531	1	1	454	2	1	28	2196	0	0
4.541	1	1	455	2	1	28	2196	0	0
4.551	1	1	456	2	1	28	2196	0	0
4.561	1	1	457	2	1	28	2196	0	0
4.571	1	1	458	2	1	28	2196	0	0
4.581	1	1	459	2	1	28	2196	0	0
4.591	1	1	460	2	1	28	2196	0	0
4.601	1	1	461	2	1	28	2196	0	0
4.611	1	1	462	2	1	28	2196	0	0
4.621	1	1	463	2	1	28	2196	0	0
4.631	1	1	464	2	1	28	2196	0	0
4.641	1	1	465	2	1	28	2196	0	0
4.651	1	1	466	2	1	28	2196	0	0
4.661	1	1	467	2	1	28	2196	0	0
4.671	1	1	468	2	1	28	2196	0	0
4.681	1	1	469	2	1	28	2196	0	0
4.691	1	1	470	2	1	28	2196	0	0
4.701	1	1	471	2	1	28	2196	0	0
4.711	1	1	472	2	1	28	2196	0	0
4.721	1	1	473	2	1	28	2196	0	0
4.731	1	1	474	2	1	28	2196	0	0
4.741	1	1	475	2	1	28	2196	0	0
4.751	1	1	476	2	1	28	2196	0	0
4.761	1	1	477	2	1	28	2196	0	0
4.771	1	1	478	2	1	28	2196	0	0
4.781	1	1	479	2	1	28	2196	0	0
4.791	1	1	480	2	1	28	2196	0	0
4.801	1	1	481	2	1	28	2196	0	0
4.811	1	1	482	2	1	28	2196	0	0
4.821	1	1	483	2	1	28	2196	0	0
4.831	1	1	484	2	1	28	2196	0	0
4.841	1	1	485	2	1	28	2196	0	0
4.851	1	1	486	2	1	28	2196	0	0
4.861	1	1	487	2	1	28	2196	0	0
4.871	1	1	488	2	1	28	2196	0	0
4.881	1	1	489	2	1	28	2196	0	0
4.891	1	1	490	2	1	28	2196	0	0
4.901	1	1	491	2	1	28	2196	0	0
4.911	1	1	492	2	1	28	2196	0	0
4.921	1	1	493	2	1	28	2196	0	0
4.931	1	1	494	2	1	28	2196	0	0
4.941	1	1	495	2	1	28	2196	0	0
4.951	1	1	496	2	1	28	2196	0	0
4.961	1	1	497	2	1	28	2196	0	0
4.971	1	1	498	2	1	28	2196	0	0
4.981	1	1	499	2	1	28	2196	0	0
4.991	1	1	500	2	1	28	2196	0	0
5.001	1	1	501	2	1	28	2196	0	0
5.011	1	1	502	2	1	28	2196	0	0
5.021	1	1	503	2	1	28	2196	0	0
5.031	1	1	504	2	1	28	2196	0	0
5.041	1	1	505	2	1	28	2196	0	0
5.051	1	1	506	2	1	28	2196	0	0
5.061	1	1	507	2	1	28	2196	0	0
5.071	1	1	508	2	1	28	2196	0	0
5.081	1	1	509	2	1	28	2196	0	0
5.091	1	1	510	2	1	28	2196	0	0
5.101	1	1	511	2	1	28	2196	0	0
5.111	1	1	512	2	1	28	2196	0	0
5.121	1	1	513	2	1	28	2196	0	0
5.131	1	1	514	2	1	28	2196	0	0
5.141	1	1	515	2	1	28	2196	0	0
5.151	1	1	516	2	1	28	2196	0	0
5.161	1	1	517	2	1	28	2196	0	0
5.171	1	1	518	2	1	28	2196	0	0
5.181	1	1	519	2	1	28	2196	0	0
5.191	1	1	520	2	1	28	2196	0	0
5.201	1	1	521	2	1	28	2196	0	0
5.211	1	1	522	2	1	28	2196	0	0
5.221	1	1	523	2	1	28	2196	0	0
5.231	1	1	524	2	1	28	2196	0	0
5.241	1	1	525	2	1	28	2196	0	0
5.251	1	1	526	2	1	28	2196	0	0
5.261	1	1	527	2	1	28	2196	0	0
5.271	1	1	528	2	1	28	2196	0	0
5.281	1	1	529	2	1	28	2196	0	0
5.291	1	1	530	2	1	28	2196	0	0
5.301	1	1	531	2	1	28	2196	0	0
5.311	1	1	532	2	1	28	2196	0	0
5.321	1	1	533	2	1	28	2196	0	0
5.331	1	1	534	2	1	28	2196	0	0
5.341	1	1	535	2	1	28	2196	0	0
5.351	1	1	536	2	1	28	2196	0	0
5.361	1	1	537	2	1	28	2196	0	0
5.371	1	1	538	2	1	28	2196	0	0
5.381	1	1	539	2	1	28	2196	0	0
5.391	1	1	540	2	1	28	2196	0	0
5.401	1	1	541	2	1	28	2196	0	0
5.411	1	1	542	2	1	28	2196	0	0
5.421	1	1	543	2	1	28	2196	0	0
5.431	1	1	544	2	1	28	2196	0	0
5.441	1	1	545	2	1	28	2196	0	0
5.451	1	1	546	2	1	28	2196	0	0
5.461	1	1	547	2	1	28	2196	0	0
5.471	1	1	548	2	1	28	2196	0	0
5.481	1	1	549	2	1	28	2196	0	0
5.491	1	1	550	2	1	28	2196	0	0
5.501	1	1	551	2	1	28	2196	0	0
5.511	1	1	552	2	1	28	2196	0	0
5.521	1	1	553	2	1	28	2196	0	0
5.531	1	1	554	2	1	28	2196	0	0
5.541	1	1	555	2	1	28	2196	0	0
5.551	1	1	556	2	1	28	2196	0	0
5.561	1	1	557	2	1	28	2196	0	0
5.571	1	1	558	2	1	28	2196	0	0
5.581	1	1	559	2	1	28	2196	0	0
5.591	1	1	560	2	1	28	2196	0	0
5.601	1	1	561	2	1	28	2196	0	0
5.611	1	1	562	2	1	28	2196	0	0
5.621	1	1	563	2	1	28	2196	0	0
5.631	1	1	564	2	1	28	2196	0	0
5.641	1	1	565	2	1	28	2196	0	0
5.651	1	1	566	2	1	28	2196	0	0
5.661	1	1	567	2	1	28	2196	0	0
5.671	1	1	568	2	1	28	2196	0	0
5.681	1	1	569	2	1	28	2196	0	0
5.691	1	1	570	2	1	28	2196	0	0
5.701	1	1	571	2	1	28	2196	0	0
5.711	1	1	572	2	1	28	2196	0	0
5.721	1	1	573	2	1	28	2196	0	0
5.731	1	1	574	2	1	28	2196	0	0
5.741	1	1	575	2	1	28	2196	0	0
5.751	1	1	576	2	1	28	2196	0	0
5.761	1	1	577	2	1	28	2196	0	0
5.771	1	1	578	2	1	28	2196	0	0
5.781	1	1	579	2	1	28	2196	0	0
5.791	1	1	580	2	1	28	2196	0	0
5.801	1	1	581	2	1	28	2196	0	0
5.811	1	1	582	2	1	28	2196	0	0
5.821	1	1	583	2	1	28	2196	0	0
5.831	1	1	584	2	1	28	2196	0	0
5.841	1	1	585	2	1	28	2196	0	0
5.851	1	1	586	2	1	28	2196	0	0
5.861	1	1	587	2	1	28	2196	0	0
5.871	1	1	588	2	1	28	2196	0	0
5.881	1	1	589	2	1	28	2196	0	0
5.891	1	1	590	2	1	28	2196	0	0
5.901	1	1	591	2	1	28	2196	0	0
5.911	1	1	592	2	1	28	2196	0	0
5.921	1	1	593	2	1	28	2196	0	0
5.931	1	1	594	2	1	28	2196	0	0
5.941	1	1	595	2	1	28	2196	0	0
5.951	1	1	596	2	1	28	2196	0	0
5.961	1	1	597	2	1	28	2196	0	0
5.971	1	1	598	2	1	28	2196	0	0
5.981	1	1	599	2	1	28	2196	0	0
5.991	1	1	600	2	1	28	2196	0	0
6.001	1	1	601	2	1	28	2196	0	0
6.011	1	1	602	2	1	28	2196	0	0
6.021	1	1	603	2	1	28	2196	0	0
6.031	1	1	604	2	1	28	2196	0	0
6.041	1	1	605	2	1	28	2196	0	0
6.051	1	1	606	2	1	28	2196	0	0
6.061	1	1	607	2	1	28	2196	0	0
